MONTH,BOROUGH,COMMUNITYDISTRICT,RESORGANICSTONS,SCHOOLORGANICTONS,BOROUGH_ID
2022 / 05,Queens,11,,79.2,4
2022 / 05,Queens,12,,,4
2022 / 05,Queens,13,,,4
2022 / 05,Queens,14,,,4
2022 / 04,Queens,1,,,4
2022 / 04,Queens,2,,144.7,4
2022 / 04,Queens,3,,,4
2022 / 04,Queens,4,,,4
2022 / 04,Queens,5,,107.4,4
2022 / 04,Queens,6,,,4
2022 / 04,Queens,7,,,4
2022 / 04,Queens,8,,,4
2022 / 04,Queens,9,,108.5,4
2022 / 04,Queens,10,,,4
2022 / 04,Queens,11,,54.8,4
2022 / 04,Queens,12,,,4
2022 / 04,Queens,13,,,4
2022 / 04,Queens,14,,,4
2022 / 03,Queens,1,,,4
2022 / 03,Queens,2,,197.8,4
2022 / 03,Queens,3,,,4
2022 / 03,Queens,4,,,4
2022 / 03,Queens,5,,153.6,4
2022 / 03,Queens,6,,,4
2022 / 03,Queens,7,,,4
2022 / 03,Queens,8,,,4
2022 / 03,Queens,9,,158.7,4
2022 / 03,Queens,10,,,4
2022 / 03,Queens,11,,96.1,4
2022 / 03,Queens,12,,,4
2022 / 03,Queens,13,,,4
2022 / 03,Queens,14,,,4
2022 / 02,Queens,1,,,4
2022 / 02,Queens,2,,63.7,4
2022 / 02,Queens,3,,,4
2022 / 02,Queens,4,,,4
2022 / 02,Queens,5,,47.6,4
2022 / 02,Queens,6,,,4
2022 / 02,Queens,7,,,4
2022 / 02,Queens,8,,,4
2022 / 02,Queens,9,,64.3,4
2022 / 02,Queens,10,,,4
2022 / 02,Queens,11,,58.4,4
2022 / 02,Queens,12,,,4
2022 / 02,Queens,13,,,4
2022 / 02,Queens,14,,,4
2022 / 01,Queens,1,,,4
2022 / 01,Queens,2,,79.1,4
2022 / 01,Queens,3,,,4
2022 / 01,Queens,4,,,4
2022 / 01,Queens,5,,47.2,4
2022 / 01,Queens,6,,,4
2022 / 01,Queens,7,,,4
2022 / 01,Queens,8,,,4
2022 / 01,Queens,9,,59.4,4
2022 / 01,Queens,10,,,4
2022 / 01,Queens,11,,63.7,4
2022 / 01,Queens,12,,,4
2022 / 01,Queens,13,,,4
2022 / 01,Queens,14,,,4
2021 / 12,Queens,1,,,4
2021 / 12,Queens,2,,46.8,4
2021 / 12,Queens,3,,,4
2021 / 12,Queens,4,,,4
2021 / 12,Queens,5,,31.7,4
2021 / 12,Queens,6,,,4
2021 / 12,Queens,7,,,4
2021 / 12,Queens,8,,,4
2021 / 12,Queens,9,,47.8,4
2021 / 12,Queens,10,,,4
2021 / 12,Queens,11,,42.8,4
2021 / 12,Queens,12,,,4
2021 / 12,Queens,13,,,4
2021 / 12,Queens,14,,,4
2021 / 11,Queens,1,,,4
2021 / 11,Queens,2,,,4
2021 / 11,Queens,3,,,4
2021 / 11,Queens,4,,,4
2021 / 11,Queens,5,,,4
2021 / 11,Queens,6,,,4
2021 / 11,Queens,7,,,4
2021 / 11,Queens,8,,,4
2021 / 11,Queens,9,,,4
2021 / 11,Queens,10,,,4
2021 / 11,Queens,11,,,4
2021 / 11,Queens,12,,,4
2021 / 11,Queens,13,,,4
2021 / 11,Queens,14,,,4
2021 / 10,Queens,1,,,4
2021 / 10,Queens,2,,63.6,4
2021 / 10,Queens,3,,,4
2021 / 10,Queens,4,,,4
2021 / 10,Queens,5,,45.9,4
2021 / 10,Queens,6,,,4
2021 / 10,Queens,7,,,4
2021 / 10,Queens,8,,,4
2021 / 10,Queens,9,,46.7,4
2021 / 10,Queens,10,,,4
2021 / 10,Queens,11,,64.8,4
2021 / 10,Queens,12,,,4
2021 / 10,Queens,13,,,4
2021 / 10,Queens,14,,,4
2021 / 09,Queens,1,,,4
2021 / 09,Queens,2,,36.7,4
2021 / 09,Queens,3,,,4
2021 / 09,Queens,4,,,4
2021 / 09,Queens,5,,27.1,4
2021 / 09,Queens,6,,,4
2021 / 09,Queens,7,,,4
2021 / 09,Queens,8,,,4
2021 / 09,Queens,9,,20,4
2021 / 09,Queens,10,,,4
2021 / 09,Queens,11,,27.8,4
2021 / 09,Queens,12,,,4
2021 / 09,Queens,13,,,4
2021 / 09,Queens,14,,,4
2021 / 08,Queens,1,,,4
2021 / 08,Queens,2,,,4
2021 / 08,Queens,3,,,4
2021 / 08,Queens,4,,,4
2021 / 08,Queens,5,,,4
2021 / 08,Queens,6,,,4
2021 / 08,Queens,7,,,4
2021 / 08,Queens,8,,,4
2021 / 08,Queens,9,,,4
2021 / 08,Queens,10,,,4
2021 / 08,Queens,11,,,4
2021 / 08,Queens,12,,,4
2021 / 08,Queens,13,,,4
2021 / 08,Queens,14,,,4
2021 / 07,Queens,1,,,4
2021 / 07,Queens,2,,,4
2021 / 07,Queens,3,,,4
2021 / 07,Queens,4,,,4
2021 / 07,Queens,5,,,4
2021 / 07,Queens,6,,,4
2021 / 07,Queens,7,,,4
2021 / 07,Queens,8,,,4
2021 / 07,Queens,9,,,4
2021 / 07,Queens,10,,,4
2021 / 07,Queens,11,,,4
2021 / 07,Queens,12,,,4
2021 / 07,Queens,13,,,4
2021 / 07,Queens,14,,,4
2021 / 06,Queens,1,,,4
2021 / 06,Queens,2,,,4
2021 / 06,Queens,3,,,4
2021 / 06,Queens,4,,,4
2021 / 06,Queens,5,,,4
2021 / 06,Queens,6,,,4
2021 / 06,Queens,7,,,4
2021 / 06,Queens,8,,,4
2021 / 06,Queens,9,,,4
2021 / 06,Queens,10,,,4
2021 / 06,Queens,11,,,4
2021 / 06,Queens,12,,,4
2021 / 06,Queens,13,,,4
2021 / 06,Queens,14,,,4
2021 / 05,Queens,1,,,4
2021 / 05,Queens,2,,,4
2021 / 05,Queens,3,,,4
2021 / 05,Queens,4,,,4
2021 / 05,Queens,5,,,4
2021 / 05,Queens,6,,,4
2021 / 05,Queens,7,,,4
2021 / 05,Queens,8,,,4
2021 / 05,Queens,9,,,4
2021 / 05,Queens,10,,,4
2021 / 05,Queens,11,,,4
2021 / 05,Queens,12,,,4
2021 / 05,Queens,13,,,4
2021 / 05,Queens,14,,,4
2021 / 04,Queens,1,,,4
2021 / 04,Queens,2,,,4
2021 / 04,Queens,3,,,4
2021 / 04,Queens,4,,,4
2021 / 04,Queens,5,,,4
2021 / 04,Queens,6,,,4
2021 / 04,Queens,7,,,4
2021 / 04,Queens,8,,,4
2021 / 04,Queens,9,,,4
2021 / 04,Queens,10,,,4
2021 / 04,Queens,11,,,4
2021 / 04,Queens,12,,,4
2021 / 04,Queens,13,,,4
2021 / 04,Queens,14,,,4
2021 / 03,Queens,1,,,4
2021 / 03,Queens,2,,,4
2021 / 03,Queens,3,,,4
2021 / 03,Queens,4,,,4
2021 / 03,Queens,5,,,4
2021 / 03,Queens,6,,,4
2021 / 03,Queens,7,,,4
2021 / 03,Queens,8,,,4
2021 / 03,Queens,9,,,4
2021 / 03,Queens,10,,,4
2021 / 03,Queens,11,,,4
2021 / 03,Queens,12,,,4
2021 / 03,Queens,13,,,4
2021 / 03,Queens,14,,,4
2021 / 02,Queens,1,,,4
2021 / 02,Queens,2,,,4
2021 / 02,Queens,3,,,4
2021 / 02,Queens,4,,,4
2021 / 02,Queens,5,,,4
2021 / 02,Queens,6,,,4
2021 / 02,Queens,7,,,4
2021 / 02,Queens,8,,,4
2021 / 02,Queens,9,,,4
2021 / 02,Queens,10,,,4
2021 / 02,Queens,11,,,4
2021 / 02,Queens,12,,,4
2021 / 02,Queens,13,,,4
2021 / 02,Queens,14,,,4
2021 / 01,Queens,1,,,4
2021 / 01,Queens,2,,,4
2021 / 01,Queens,3,,,4
2021 / 01,Queens,4,,,4
2021 / 01,Queens,5,,,4
2021 / 01,Queens,6,,,4
2021 / 01,Queens,7,,,4
2021 / 01,Queens,8,,,4
2021 / 01,Queens,9,,,4
2021 / 01,Queens,10,,,4
2021 / 01,Queens,11,,,4
2021 / 01,Queens,12,,,4
2021 / 01,Queens,13,,,4
2021 / 01,Queens,14,,,4
2020 / 12,Queens,1,,,4
2020 / 12,Queens,2,,,4
2020 / 12,Queens,3,,,4
2020 / 12,Queens,4,,,4
2020 / 12,Queens,5,,,4
2020 / 12,Queens,6,,,4
2020 / 12,Queens,7,,,4
2020 / 12,Queens,8,,,4
2020 / 12,Queens,9,,,4
2020 / 12,Queens,10,,,4
2020 / 12,Queens,11,,,4
2020 / 12,Queens,12,,,4
2020 / 12,Queens,13,,,4
2020 / 12,Queens,14,,,4
2020 / 11,Queens,1,,,4
2020 / 11,Queens,2,,,4
2020 / 11,Queens,3,,,4
2020 / 11,Queens,4,,,4
2020 / 11,Queens,5,,,4
2020 / 11,Queens,6,,,4
2020 / 11,Queens,7,,,4
2020 / 11,Queens,8,,,4
2020 / 11,Queens,9,,,4
2020 / 11,Queens,10,,,4
2020 / 11,Queens,11,,,4
2020 / 11,Queens,12,,,4
2020 / 11,Queens,13,,,4
2020 / 11,Queens,14,,,4
2020 / 10,Queens,1,,,4
2020 / 10,Queens,2,,,4
2020 / 10,Queens,3,,,4
2020 / 10,Queens,4,,,4
2020 / 10,Queens,5,,,4
2020 / 10,Queens,6,,,4
2020 / 10,Queens,7,,,4
2020 / 10,Queens,8,,,4
2020 / 10,Queens,9,,,4
2020 / 10,Queens,10,,,4
2020 / 10,Queens,11,,,4
2020 / 10,Queens,12,,,4
2020 / 10,Queens,13,,,4
2020 / 10,Queens,14,,,4
2020 / 09,Queens,1,,,4
2020 / 09,Queens,2,,,4
2020 / 09,Queens,3,,,4
2020 / 09,Queens,4,,,4
2020 / 09,Queens,5,,,4
2020 / 09,Queens,6,,,4
2020 / 09,Queens,7,,,4
2020 / 09,Queens,8,,,4
2020 / 09,Queens,9,,,4
2020 / 09,Queens,10,,,4
2020 / 09,Queens,11,,,4
2020 / 09,Queens,12,,,4
2020 / 09,Queens,13,,,4
2020 / 09,Queens,14,,,4
2020 / 08,Queens,1,,,4
2020 / 08,Queens,2,,,4
2020 / 08,Queens,3,,,4
2020 / 08,Queens,4,,,4
2020 / 08,Queens,5,,,4
2020 / 08,Queens,6,,,4
2020 / 08,Queens,7,,,4
2020 / 08,Queens,8,,,4
2020 / 08,Queens,9,,,4
2020 / 08,Queens,10,,,4
2020 / 08,Queens,11,,,4
2020 / 08,Queens,12,,,4
2020 / 08,Queens,13,,,4
2020 / 08,Queens,14,,,4
2020 / 07,Queens,1,,,4
2020 / 07,Queens,2,,,4
2020 / 07,Queens,3,,,4
2020 / 07,Queens,4,,,4
2020 / 07,Queens,5,,,4
2020 / 07,Queens,6,,,4
2020 / 07,Queens,7,,,4
2020 / 07,Queens,8,,,4
2020 / 07,Queens,9,,,4
2020 / 07,Queens,10,,,4
2020 / 07,Queens,11,,,4
2020 / 07,Queens,12,,,4
2020 / 07,Queens,13,,,4
2020 / 07,Queens,14,,,4
2020 / 06,Queens,1,,,4
2020 / 06,Queens,2,,,4
2020 / 06,Queens,3,,,4
2020 / 06,Queens,4,,,4
2020 / 06,Queens,5,,,4
2020 / 06,Queens,6,,,4
2020 / 06,Queens,7,,,4
2020 / 06,Queens,8,,,4
2020 / 06,Queens,9,,,4
2020 / 06,Queens,10,,,4
2020 / 06,Queens,11,,,4
2020 / 06,Queens,12,,,4
2020 / 06,Queens,13,,,4
2020 / 06,Queens,14,,,4
2020 / 05,Queens,1,,,4
2020 / 05,Queens,2,5.4,,4
2020 / 05,Queens,3,,,4
2020 / 05,Queens,4,,,4
2020 / 05,Queens,5,8.4,,4
2020 / 05,Queens,6,,,4
2020 / 05,Queens,7,9.5,,4
2020 / 05,Queens,8,3.3,,4
2020 / 05,Queens,9,11.4,,4
2020 / 05,Queens,10,4,,4
2020 / 05,Queens,11,8.9,,4
2020 / 05,Queens,12,,,4
2020 / 05,Queens,13,19.3,,4
2020 / 05,Queens,14,8.4,,4
2020 / 04,Queens,1,,,4
2020 / 04,Queens,2,77.3,,4
2020 / 04,Queens,3,,,4
2020 / 04,Queens,4,,,4
2020 / 04,Queens,5,121.6,,4
2020 / 04,Queens,6,,,4
2020 / 04,Queens,7,113.2,,4
2020 / 04,Queens,8,71.7,,4
2020 / 04,Queens,9,153.9,,4
2020 / 04,Queens,10,57.6,,4
2020 / 04,Queens,11,126.8,,4
2020 / 04,Queens,12,,,4
2020 / 04,Queens,13,196.5,,4
2020 / 04,Queens,14,71.3,,4
2020 / 03,Queens,1,,,4
2020 / 03,Queens,2,76.6,36,4
2020 / 03,Queens,3,,,4
2020 / 03,Queens,4,,,4
2020 / 03,Queens,5,115.6,40.8,4
2020 / 03,Queens,6,,41.8,4
2020 / 03,Queens,7,104.6,,4
2020 / 03,Queens,8,102.9,,4
2020 / 03,Queens,9,158.2,21.6,4
2020 / 03,Queens,10,54.6,,4
2020 / 03,Queens,11,137.6,38.7,4
2020 / 03,Queens,12,,,4
2020 / 03,Queens,13,160.3,,4
2020 / 03,Queens,14,69.5,,4
2020 / 02,Queens,1,,,4
2020 / 02,Queens,2,59.7,53.1,4
2020 / 02,Queens,3,,,4
2020 / 02,Queens,4,,,4
2020 / 02,Queens,5,103.3,55.7,4
2020 / 02,Queens,6,,59.7,4
2020 / 02,Queens,7,91.2,,4
2020 / 02,Queens,8,84.9,,4
2020 / 02,Queens,9,122.5,30.8,4
2020 / 02,Queens,10,55.1,,4
2020 / 02,Queens,11,98.6,61.6,4
2020 / 02,Queens,12,,,4
2020 / 02,Queens,13,127.2,,4
2020 / 02,Queens,14,49.8,,4
2020 / 01,Queens,1,,,4
2020 / 01,Queens,2,75,66.8,4
2020 / 01,Queens,3,,,4
2020 / 01,Queens,4,,,4
2020 / 01,Queens,5,109.9,68.6,4
2020 / 01,Queens,6,,80.3,4
2020 / 01,Queens,7,109.9,,4
2020 / 01,Queens,8,104.5,,4
2020 / 01,Queens,9,164.1,40,4
2020 / 01,Queens,10,56.1,,4
2020 / 01,Queens,11,120.5,82.1,4
2020 / 01,Queens,12,,,4
2020 / 01,Queens,13,172.6,,4
2020 / 01,Queens,14,58.9,,4
